,blur,dia,pos
0,73.83696749847398,50,40
1,68.75868104326729,50,40
2,73.90294847074074,50,40
3,70.05771161603796,50,40
4,66.86983504737965,50,40
5,72.20882698956251,50,40
6,69.87562239985891,50,40
7,63.410409963611976,50,40
8,66.97990519989534,50,40
9,68.27150015726609,50,40
10,72.76076644165613,50,40
11,68.62278615060194,50,40
12,72.66864809266063,50,40
13,68.13845102709746,50,40
14,68.67307585174096,50,40
15,72.59185741803893,50,40
16,71.2647400871709,50,40
17,67.80589586057832,50,40
18,70.03589826750947,50,40
19,66.73845143802836,50,40
20,71.4937258180858,50,40
21,67.89193251415567,50,40
22,67.06180716570995,50,40
23,65.67569257720787,50,40
24,69.12399212949916,50,40
25,69.80457330255126,50,40
26,68.60265668859726,50,40
27,73.12320540941238,50,40
28,71.85330397779074,50,40
29,72.67436323050818,50,40
30,68.64721660248485,50,40
31,70.28740592432762,50,40
32,73.24962044752489,50,40
33,67.76125764353584,50,40
34,71.3823549932146,50,40
35,67.89458020215963,50,40
36,68.77970625316752,50,40
37,70.63181035257331,50,40
38,67.18798999464177,50,40
39,68.58777265078194,50,40
40,66.25446631462756,50,40
41,69.5861054312687,50,40
42,66.3232276881728,50,40
43,66.45037668695825,50,40
44,70.07467889118914,50,40
45,73.01085706863775,50,40
46,66.35226450628647,50,40
47,66.79387094044259,50,40
48,67.06633395063898,50,40
49,69.41926514823199,50,40
50,70.2177817177604,50,40
51,68.81451308691577,50,40
52,72.02553806191968,50,40
53,68.89665890827686,50,40
54,67.83043540815413,50,40
55,69.51749092777959,50,40
56,72.11375160710996,50,40
57,73.01967651214414,50,40
58,72.69677029851692,50,40
59,68.16922095818896,50,40
60,68.07962120072494,50,40
61,70.08257686939658,50,40
62,70.63783082968541,50,40
63,69.08714841295688,50,40
64,67.261976506283,50,40
65,68.43477386185434,50,40
66,63.0834328430409,50,40
67,67.84327692035114,50,40
68,69.46168660810763,50,40
69,67.3300169609107,50,40
70,69.86697535606194,50,40
71,70.31846314309509,50,40
72,68.16953698962882,50,40
73,66.82437658764606,50,40
74,69.14729843442642,50,40
75,68.19447379133527,50,40
76,70.73404885331786,50,40
77,65.34567145977593,50,40
78,68.25694105555785,50,40
79,66.41533394971657,50,40
80,69.34565727268837,50,40
81,70.6125701827412,50,40
82,69.41082116085032,50,40
83,71.17793106108402,50,40
84,72.1845687696863,50,40
85,69.76188880343653,50,40
86,63.821963161453205,50,40
87,68.16422681518964,50,40
88,68.81506974541327,50,40
89,70.99719264039851,50,40
90,66.92939784076874,50,40
91,65.43406489168038,50,40
92,68.05889421557956,50,40
93,67.13568586218935,50,40
94,64.81012639370661,50,40
95,64.85940073313657,50,40
96,67.21873283172425,50,40
97,62.914272813115744,50,40
98,65.04982351968285,50,40
99,62.74872448163004,50,40
100,60.829146695549454,50,40
101,66.06031157417964,50,40
102,65.1698652571123,50,40
103,67.78907575067288,50,40
104,53.79643335441377,50,-50
105,52.55397761880433,50,-50
106,52.2531273766491,50,-50
107,52.98908929508573,50,-50
108,53.66975347170073,50,-50
109,54.57832257438454,50,-50
110,53.55509911180157,50,-50
111,52.383764858438894,50,-50
112,53.970751593254505,50,-50
113,52.692194140324624,50,-50
114,55.87078586819973,50,-50
115,51.726936870447105,50,-50
116,52.460150713893725,50,-50
117,55.21573341042523,50,-50
118,54.991104454654256,50,-50
119,53.50762843464186,50,-50
120,52.75942711007562,50,-50
121,54.35991726973913,50,-50
122,52.91263357222356,50,-50
123,53.37613260870454,50,-50
124,54.553509538903334,50,-50
125,55.349342668972355,50,-50
126,53.026489931909424,50,-50
127,53.11149511254733,50,-50
128,55.46322206440929,50,-50
129,53.607917520837105,50,-50
130,50.62252498691002,50,-50
131,53.818196102681945,50,-50
132,53.39499137453776,50,-50
133,51.846134104514185,50,-50
134,53.96123553872634,50,-50
135,52.941503956390434,50,-50
136,54.446049539770385,50,-50
137,54.44827796330976,50,-50
138,55.08282240825574,50,-50
139,52.56232886872611,50,-50
140,54.76348280081893,50,-50
141,53.9716812538322,50,-50
142,53.00894446418918,50,-50
143,53.176211367990064,50,-50
144,52.204235423340826,50,-50
145,51.934108141142715,50,-50
146,51.134509504831996,50,-50
147,50.67434143668523,50,-50
148,52.32294352200575,50,-50
149,52.748562746631464,50,-50
150,54.10552069625133,50,-50
151,52.36339007293353,50,-50
152,52.26995944197215,50,-50
153,52.4944762172004,50,-50
154,52.59000469087705,50,-50
155,53.197811000476875,50,-50
156,52.071287786913295,50,-50
157,53.56576138439061,50,-50
158,53.81608930677095,50,-50
159,53.99023449269491,50,-50
160,53.035004646914714,50,-50
161,50.45374405075433,50,-50
162,53.478265193531755,50,-50
163,55.78316169153881,50,-50
164,53.45191921809722,50,-50
165,53.07216232457205,50,-50
166,54.284860095897656,50,-50
167,54.06773018290718,50,-50
168,55.45950775225693,50,-50
169,53.09219709528857,50,-50
170,53.07276746966877,50,-50
171,54.83607002887471,50,-50
172,55.988038759476936,50,-50
173,55.556477157300144,50,-50
174,52.95244179142935,50,-50
175,53.30779327181973,50,-50
176,52.380784372539715,50,-50
177,52.46228955578848,50,-50
178,56.27381225650497,50,-50
179,51.026752247783584,50,-50
180,54.42473214162818,50,-50
181,50.321824387104094,50,-60
182,53.43889578222445,50,-60
183,52.14529269883749,50,-60
184,51.24738960065681,50,-60
185,49.76439853571014,50,-60
186,51.84943669625222,50,-60
187,50.38076264536748,50,-60
188,52.3094465697808,50,-60
189,51.65605075389954,50,-60
190,50.912264766004554,50,-60
191,52.761278845770086,50,-60
192,51.86450275703257,50,-60
193,49.79735479932458,50,-60
194,51.73457516068191,50,-60
195,49.76104718223329,50,-60
196,49.40394795331726,50,-60
197,51.09190292025343,50,-60
198,51.34983931432366,50,-60
199,49.99607681148211,50,-60
200,53.69113648411916,50,-60
201,52.66021424883695,50,-60
